lens_random_index,lens_mass,lens_class,lens_ra_ref,lens_dec_ref,lens_pmrac,lens_pmdec,lens_parallax,lens_dist,lens_will_escape,lens_G,source_id,source_ra_ref,source_dec_ref,source_pmrac,source_pmdec,source_parallax,source_G,min_approach,thetaE,u_min,t0_est_sim,phot_flag,ast_flag
20847.0,0.5509704351425171,Star,271.41671374453125,-33.801504570059016,-2.0311834784944565,-18.86933069215196,1.2884739430052643,0.7761119310395819,False,17.63763375987461,4.042570450474107e+18,271.4164398631655,-33.79711440801431,-2.4238935,-11.349326,0.112978846,20.131767,5.07512449392421,2.2966427321928395,2.2098014735964044,-85.88216039279871,False,False
20847.0,0.5509704351425171,Star,271.41671374453125,-33.801504570059016,-2.0311834784944565,-18.86933069215196,1.2884739430052643,0.7761119310395819,False,17.63763375987461,4.0425704504741074e+18,271.4160559623023,-33.79341216825051,-3.1744833,-2.035604,0.17105573,18.627686,10.942663707587176,2.239189778895369,4.886885341619137,285.185306419349,False,False
31503.0,0.141053631901741,Star,271.37740949473255,-29.19447932765431,-6.652011493152804,-0.2982195009735943,0.1266575845307768,7.895302943796531,False,26.69474222024401,4.0503916546396e+18,271.3795913563529,-29.196848957301064,-0.38307902,-8.098778,0.11713459,20.020338,0.9487472836162448,0.1045918359536391,9.0709497062159,922.3011456628478,False,False
21223.0,0.2227060347795486,Star,271.0279250132999,-27.370778096594375,-6.793764655286317,5.72388396918812,0.1441537225469497,6.93703903258071,False,24.28360996510287,4.063134307210756e+18,271.02831459746784,-27.37307931269496,-4.4862494,-9.607107,0.1120554,20.39875,1.406606465054328,0.2412826220013577,5.829704822448477,1475.4017094017097,False,False
21462.0,0.4246832430362701,Star,261.1294748020936,-32.09606146719522,-3.4763649191540207,-1.4947022413688205,0.1335443615180754,7.488148422235325,False,23.225931991041335,4.05783393961037e+18,261.1295542705551,-32.0983103159921,-3.3666267,-5.134636,0.060759526,20.432104,1.6577479082593911,0.5017321117212088,3.3040498495749686,-207.90434624477177,False,False
21535.0,0.2994581162929535,Star,269.9359289113837,-31.257111433750666,-4.601276500736203,-1.8638939206354728,0.1426600699535288,7.009669912020565,False,23.56619769916466,4.04409636645503e+18,269.93472009963233,-31.255452710381444,-1.6030786,-6.6767993,0.11791715,20.54225,0.1368051897917545,0.2456475300667482,0.5569166103749602,3256.725586470267,True,False
21596.0,0.9755865931510924,Star,265.2025116080426,-24.41547241605312,2.333147081880312,2.769521693686167,0.172290447637622,5.8041523120498075,False,18.311447967783035,4.068273287120027e+18,265.20989186606386,-24.41045677630262,-8.391391,-5.233101,0.1443711,20.297478,2.872551683968515,0.4709821277899605,6.099067277664429,4271.910165484634,False,False
34295.0,0.1572432965040207,Star,270.3834417855315,-28.490402940630503,-4.417785981156844,-6.15722841877292,0.1504718793706256,6.6457600196307185,False,25.896673610856936,4.062487725654147e+18,270.3828875666124,-28.490704409661948,-5.9149613,-7.0819373,0.10836173,20.036024,1.895494806840884,0.2322193170254969,8.162519945025783,844.2869612656848,False,False
34866.0,0.2249957174062729,Star,258.53452532937433,-28.95172735783573,1.8706926879790504,-6.523381194046967,0.1378017991552751,7.256799302549014,False,25.149344988158376,4.107411399943127e+18,258.53645201106303,-28.95132763958324,-5.454717,-8.261167,0.09475341,20.496798,0.7822197564842303,0.2808564880332544,2.7851226153323276,2844.650663757047,False,False
24648.0,0.4696856439113617,Star,260.31080786264357,-30.794383938786588,-1.306755593541424,-3.0035020516082565,0.5396861112413378,1.852928913993894,False,20.3145816206776,4.058923177676374e+18,260.3110686465468,-30.79463635733153,-2.391229,-1.7800475,0.25499186,19.2342,0.6240573461568176,1.0435466646431082,0.5980157546382888,2758.6350245499184,True,False
